('V', 'V', 'V', 'V', 'V'):ㅇㅗㄴㄱㅏ
('O', 'O', 'V', 'V', 'V'):ㄱㅏㄴㅇㅗ
('X', 'V', 'O', 'O', 'V'):ㄹㅗㅣㅇㅓ
('V', 'X', 'V', 'O', 'V'):ㅇㅗㅐㅈㅜ
('V', 'X', 'V', 'O', 'O'):ㅇㅜㅣㅅㅔ
('V', 'O', 'V', 'V', 'V'):ㅇㅏㄴㄱㅗ
('O', 'O', 'V', 'V', 'X'):ㅂㅜㄹㅔㅁ
('V', 'V', 'O', 'V', 'V'):ㄴㅗㅇㄱㅏ
('O', 'X', 'O', 'O', 'O'):ㄱㅣㅇㅗㄴ
('O', 'X', 'V', 'O', 'V'):ㄱㅗㅇㅈㅓ
('O', 'O', 'O', 'V', 'V'):ㄱㅏㅇㄴㅗ
('V', 'O', 'V', 'O', 'V'):ㄴㅏㄱㅗㅇ
('O', 'X', 'O', 'V', 'V'):ㅇㅗㅇㅕㅂ
('O', 'V', 'V', 'V', 'V'):ㄱㅗㄴㅏㅇ
('V', 'V', 'X', 'O', 'V'):ㄴㅐㄱㅗㅏ
('O', 'V', 'O', 'V', 'O'):ㄱㅗㅇㅏㄴ
('O', 'O', 'V', 'O', 'V'):ㄱㅏㄴㅗㅇ
('V', 'O', 'V', 'O', 'O'):ㅇㅏㄱㅗㄴ
